Image_path;Insurance_company;Cost_of_vehicle;Min_coverage;Expiry_date;Max_coverage;Condition;Amount;;
img_4511041.jpg;C;50800.0;1270.0;09-03-27;44233.68;0;0.0;;
img_4511041_1.jpg;C;50800.0;1270.0;09-03-27;44233.68;0;0.0;;
img_4511041_2.jpg;C;50800.0;1270.0;09-03-27;44233.68;0;0.0;;
img_4511041_3.jpg;C;50800.0;1270.0;09-03-27;44233.68;0;0.0;;
img_4511041_4.jpg;C;50800.0;1270.0;09-03-27;44233.68;0;0.0;;
img_4511041_5.jpg;C;50800.0;1270.0;09-03-27;44233.68;0;0.0;;
img_4511208.jpg;A;32700.0;817.5;30-05-26;28486.68;0;0.0;;
img_4511208_1.jpg;A;32700.0;817.5;30-05-26;28486.68;0;0.0;;
img_4511208_2.jpg;A;32700.0;817.5;30-05-26;28486.68;0;0.0;;
img_4511208_3.jpg;A;32700.0;817.5;30-05-26;28486.68;0;0.0;;
img_4511208_4.jpg;A;32700.0;817.5;30-05-26;28486.68;0;0.0;;
img_4511208_5.jpg;A;32700.0;817.5;30-05-26;28486.68;0;0.0;;
img_4511569.jpg;BQ;31200.0;780.0;02-10-22;27181.68;0;0.0;;
img_4511569_1.jpg;BQ;31200.0;780.0;02-10-22;27181.68;0;0.0;;
img_4511569_2.jpg;BQ;31200.0;780.0;02-10-22;27181.68;0;0.0;;
img_4511569_3.jpg;BQ;31200.0;780.0;02-10-22;27181.68;0;0.0;;
img_4511569_4.jpg;BQ;31200.0;780.0;02-10-22;27181.68;0;0.0;;
img_4511569_5.jpg;BQ;31200.0;780.0;02-10-22;27181.68;0;0.0;;
img_4511760.jpg;BQ;43300.0;1082.5;16-04-28;37708.68;0;0.0;;
img_4511760_1.jpg;BQ;43300.0;1082.5;16-04-28;37708.68;0;0.0;;
img_4511760_2.jpg;BQ;43300.0;1082.5;16-04-28;37708.68;0;0.0;;
img_4511760_3.jpg;BQ;43300.0;1082.5;16-04-28;37708.68;0;0.0;;
img_4511760_4.jpg;BQ;43300.0;1082.5;16-04-28;37708.68;0;0.0;;
img_4511760_5.jpg;BQ;43300.0;1082.5;16-04-28;37708.68;0;0.0;;
img_451186.jpg;C;28500.0;712.5;24-09-22;24832.68;0;0.0;;
img_451186_1.jpg;C;28500.0;712.5;24-09-22;24832.68;0;0.0;;
img_451186_2.jpg;C;28500.0;712.5;24-09-22;24832.68;0;0.0;;
img_451186_3.jpg;C;28500.0;712.5;24-09-22;24832.68;0;0.0;;
img_451186_4.jpg;C;28500.0;712.5;24-09-22;24832.68;0;0.0;;
img_451186_5.jpg;C;28500.0;712.5;24-09-22;24832.68;0;0.0;;
img_45123.jpg;O;42700.0;1067.5;28-04-28;37186.68;0;0.0;;
img_45123_1.jpg;O;42700.0;1067.5;28-04-28;37186.68;0;0.0;;
img_45123_2.jpg;O;42700.0;1067.5;28-04-28;37186.68;0;0.0;;
img_45123_3.jpg;O;42700.0;1067.5;28-04-28;37186.68;0;0.0;;
img_45123_4.jpg;O;42700.0;1067.5;28-04-28;37186.68;0;0.0;;
img_45123_5.jpg;O;42700.0;1067.5;28-04-28;37186.68;0;0.0;;
img_4512307.jpg;B;28700.0;717.5;09-02-25;25006.68;0;0.0;;
img_4512307_1.jpg;B;28700.0;717.5;09-02-25;25006.68;0;0.0;;
img_4512307_2.jpg;B;28700.0;717.5;09-02-25;25006.68;0;0.0;;
img_4512307_3.jpg;B;28700.0;717.5;09-02-25;25006.68;0;0.0;;
img_4512307_4.jpg;B;28700.0;717.5;09-02-25;25006.68;0;0.0;;
img_4512307_5.jpg;B;28700.0;717.5;09-02-25;25006.68;0;0.0;;
img_4512529.jpg;A;45400.0;1135.0;11-08-25;39535.68;0;0.0;;
img_4512529_1.jpg;A;45400.0;1135.0;11-08-25;39535.68;0;0.0;;
img_4512529_2.jpg;A;45400.0;1135.0;11-08-25;39535.68;0;0.0;;
